isbn,title,authors,publisher,publish_date
9781596670235,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,Routledge,2006-03-29
9781581807745,Simply Beautiful Beaded Jewelry,Heidi Boyd,North Light Books,2006-03-14
9780800793616,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,"Heidi Baker,Rolland Baker",Chosen Books,2003-09-01
9780871202864,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,Association for Supervision & Curriculum Development,1997-01-28
9780753454947,Heidi (Heidi  #1-2),"Johanna Spyri,Beverly Cleary,Angelo  Rinaldi",Kingfisher,2002-11-15
9780871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,ASCD,2004-11-15
9781852402877,There's Always Enough: The Miraculous Move of God in Mozambique,"Rolland Baker,Heidi Baker",Sovereign World,2003-04-28
9780761129585,What to Expect the First Year (What to Expect),"Heidi Murkoff,Sharon Mazel,Arlene Eisenberg,Sandee Hathaway,Mark D. Widome",Workman Publishing Company,2003-10-16
9780972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,"Heidi Fleiss,Libby Keatinge",One Hour Entertainment,2004-05-10
9781581805635,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,North Light Books,2004-08-19
9780441294671,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,Ace Books,1987-06-15
9780441102679,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,Ace Books,1987-07-01
9780441172696,Dune Messiah (Dune Chronicles #2),Frank Herbert,Ace Books,1987-07-15
9780765306470,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,Tor Books,2004-07-01
9780399128981,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,Putnam,1984-04-16
9780765353702,The Road to Dune,"Frank Herbert,Brian Herbert,Kevin J. Anderson",Tor Science Fiction,2006-08-29
9780441328000,Heretics of Dune (Dune Chronicles #5),Frank Herbert,Ace Books,1987-08-15
9780618212903,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,Houghton Mifflin Harcourt,2002-06-12
9780345410054,The Power of One (The Power of One  #1),Bryce Courtenay,Ballantine Books,1996-09-29
9780385732543,The Power of One (The Power of One  #1),Bryce Courtenay,Delacorte Books for Young Readers,2005-09-13
9780785260059,The Power of One: One Person  One Rule  One Month,"John C. Maxwell,Stephen R. Graves,Thomas G. Addington",Thomas Nelson,2004-11-01
9780471780939,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,Wiley,2006-05-19
9780325001531,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,Heinemann Drama,2000-02-07
9780060762872,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,William Morrow Paperbacks,2005-05-03
9780470045299,eBay for Dummies,Marsha Collier,Wiley,2006-10-30
9780072262780,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,"Chris Malta,Lisa Suttora",McGraw-Hill,2006-01-24
9780764569241,Starting an eBay Business for Dummies,Marsha Collier,Wiley,2004-09-17
9780471933823,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,Wiley,2006-06-06
9780764559914,ebay Timesaving Techniques for Dummies,Marsha Collier,Wiley,2004-05-31
9780764584381,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,Wiley,2005-04-25
9780596523695,Ruby Cookbook,"Lucas Carlson,Leonard Richardson",O'Reilly Media,2006-07-29
9780806523491,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,Citadel,2005-05-03
9780806525365,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,Citadel,2005-05-03
9780596527310,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,O'Reilly Media,2007-01-01
9780143035008,Anna Karenina,"Leo Tolstoy,Richard Pevear,Larissa Volokhonsky",Penguin Classics,2004-05-31
9780451528612,Anna Karenina,"Leo Tolstoy,David Magarshack,Priscilla Meyer",Signet,2002-11-05
9780140449174,Anna Karenina,"Leo Tolstoy,Richard Pevear,Larissa Volokhonsky,John Bayley",Penguin Books,2003-01-30
9780822001836,CliffsNotes on Tolstoy's Anna Karenina,"Marianne Sturman,Leo Tolstoy",Cliffs Notes,1965-11-26
9781593080273,Anna Karenina,"Leo Tolstoy,Amy Mandelker,Constance Garnett",Barnes & Noble Classics,2003-07-01
9780486437965,Anna Karenina,"Leo Tolstoy,Louise Maude,Aylmer Maude",Dover Publications,2004-11-23
9781593081775,Anna Karenina,"Leo Tolstoy,Constance Garnett,Amy Mandelker",Barnes & Noble,2004-08-26
9780778322276,Dinner with Anna Karenina,Gloria Goldreich,Mira Books,2006-01-28
9780521313254,Tolstoy: Anna Karenina,Anthony Thorlby,Cambridge University Press,1987-11-26
9780140183955,Untouchable,"Mulk Raj Anand,E.M. Forster",Penguin Books,1990-07-03
9780679767473,The Untouchable,John Banville,Vintage,1998-06-30
9781568491981,The Untouchables,"Eliot Ness,Oscar Fraley",Buccaneer Books,1996-02-01
9780743270793,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,Scribner,2005-09-27
9780932863058,Dalit: The Black Untaouchables of India,"V.T. Rajshekar,Y.N. Kly",Clarity Press,1995-01-28
9780742508804,Growing Up Untouchable in India: A Dalit Autobiography,"Vasant Moon,Gail Omvedt,Eleanor Zelliot",Rowman & Littlefield Publishers,2000-12-20
9780205358625,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,Pearson,2003-09-22
9781557344038,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom","John Carratello,Patty Carratello,Theresa Wright",Teacher Created Resources,1991-09-28
9780380720446,Wrinkles in Time,"George Smoot,Keay Davidson",Harper Perennial,1994-10-01
9780821925324,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,EMC/Paradigm Publishing,2002-05-01
9780439271691,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,Teaching Resources,2002-01-01
9780606105262,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,Turtleback Books,1984-06-01
9780751506433,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,Little  Brown Book Group,1994-06-01
9780060786717,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,William Morrow,2006-01-03
9780743499347,Long Way Round: Chasing Shadows Across the World,"Ewan McGregor,Charley Boorman,Robert Uhlig",Atria Books,2005-11-01
9780765313409,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,Tor Books,2006-03-07
9781400032495,New Hope for the Dead (Hoke Mosely #2),"Charles Willeford,James Lee Burke",Vintage Crime/Black Lizard,2004-08-10
9781400032488,Sideswipe: A Hoke Moseley Novel,"Charles Willeford,Lawrence Block",Vintage Crime/Black Lizard,2005-03-08
9781400032464,Miami Blues (Hoke Moseley #1),"Charles Willeford,Elmore Leonard",Vintage Crime/Black Lizard,2004-08-10
9780679732525,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,Vintage,1990-10-03
9780312424442,I am Charlotte Simmons,Tom Wolfe,Picador USA,2005-08-30
9780806930770,Poetry for Young People: Edward Lear,"Edward Lear,Laura Huliska-Beith,Edward Mendelson",Sterling,2001-10-01
9780140366600,The Puffin Book of Nonsense Verse,Quentin Blake,Puffin,1996-10-03
9780811201124,Henry Miller on Writing,"Henry Miller,Thomas H. Moore",New Directions Publishing,1964-02-01
9780802130167,Quiet Days in Clichy,Henry Miller,Grove Press,1994-01-13
9780802131782,Tropic of Cancer,"Henry Miller,Jiří Níl",Grove Press,1994-01-06
9780802151827,Tropic of Capricorn,Henry Miller,Grove Press,1994-01-13
9780802151780,Nexus (The Rosy Crucifixion  #3),Henry Miller,Grove Press,1994-01-13
9780802151803,Sexus (The Rosy Crucifixion  #1),Henry Miller,Grove Press,1994-01-12
9780811201063,The Air-Conditioned Nightmare,Henry Miller,New Directions,1970-01-17
9780141439631,The Portrait of a Lady,"Henry James,Patricia Crick",Penguin Classics,2003-09-30
9781593080969,The Portrait of a Lady,"Henry James,Gabriel Brownstein,Mary Cregan",Barnes  Noble Classics,2004-01-16
9781571290533,Writing,Marguerite Duras,Brookline Books,1999-05-06
9781565842212,The War,"Marguerite Duras,Barbara Bray",The New Press,1994-08-01
